case_id,len,height,thk,force,f0,uy_amp,area
0042,10.535358,1.126557,0.104737,1036.521,9.0,0.0009820370901,11.8686813
0043,10.336536,1.197223,0.114464,1602.424,9.0,0.001935107432,12.37513864
0044,10.458958,0.922761,0.106451,1124.129,9.0,0.0004321820325,9.651118543
0045,8.75039,0.926495,0.098279,1683.85,9.0,0.001298240882,8.107192583
0046,10.762714,1.151504,0.087085,1828.513,9.0,0.001598961319,12.39330822
0047,8.643588,0.885923,0.088168,1318.056,9.0,0.001463190086,7.657553412
0048,8.055941,1.190951,0.093524,1730.578,9.0,0.0001679637826,9.59423099
0049,9.05708,0.875902,0.105166,1997.59,9.0,0.005912309283,7.933114486
0050,11.362497,0.894497,0.091632,1204.774,9.0,0.0003321207355,10.16371948
0051,11.757425,0.997471,0.089438,1263.527,9.0,0.000330105938,11.72769047
0052,10.477688,1.164665,0.085601,1407.493,9.0,0.002966826494,12.20299649
0053,9.534426,1.11407,0.101546,761.724,9.0,0.0003919882826,10.62201797
0054,8.250155,0.855038,0.102493,910.751,9.0,0.000565188095,7.054196031
0055,10.045638,0.892093,0.119026,889.701,9.0,0.0003896259888,8.96164334
0056,10.749785,0.848744,0.096143,1948.546,9.0,0.000630018529,9.12381552
0057,8.872705,0.935666,0.112543,581.354,9.0,0.0004567571905,8.301888397
0058,8.065097,0.909594,0.090122,819.711,9.0,0.0002953901505,7.335963841
0059,8.714855,0.901316,0.091332,1178.871,9.0,0.001222579703,7.854838249
0060,8.469355,1.116549,0.093381,1645.103,9.0,0.0002822120023,9.456449856
0061,8.634517,1.176331,0.09966,783.545,9.0,0.0001116182541,10.15705002
0062,11.227565,0.815028,0.082102,1807.427,9.0,0.0005603663022,9.150779847
0063,9.322614,1.155238,0.103884,871.538,9.0,0.0002453682656,10.76983795
0064,9.95658,1.130542,0.085553,551.879,9.0,0.0007269345601,11.25633187
0065,10.377207,1.135144,0.118577,1751.919,9.0,0.002515300933,11.77962426
0066,11.511422,1.003931,0.090759,1225.707,9.0,0.0003510281473,11.5566734
0067,9.435149,1.162347,0.08624,1080.406,9.0,0.000400792858,10.96691713
0068,9.884156,0.995522,0.113035,728.848,9.0,0.0008198070529,9.839894749
0069,11.62499,0.858274,0.105541,1073.148,9.0,0.0002318647974,9.977426667
0070,11.329316,1.027356,0.11715,709.319,9.0,0.0001768379067,11.63924077
