case_id,len,height,thk,force,uy_tip,uy_max,u_sum_max,sig_max,area,volume
0176,11.559224,0.362076,0.090109,1080.0919,-0.0073308755,0.0073309081,0.0073329293,6404621.8,4.1853176,0.37713478
0177,7.658557,0.807863,0.098845,1797.7242,-0.00029296134,0.00029301081,0.00029391492,1304897.1,6.1870648,0.61156042
0178,9.443214,1.268734,0.057936,1139.1944,-0.00015398973,0.00015404331,0.0001548072,708035.48,11.980927,0.69412697
0179,10.62265,0.678191,0.105579,1779.9193,-0.0012195593,0.0012196052,0.0012209966,2368407.2,7.2041856,0.76061071
0180,13.900488,0.452232,0.131111,559.57995,-0.0023298389,0.0023298505,0.0023305434,1758260.8,6.2862455,0.82419593
0181,11.87015,0.66988,0.092077,1185.9067,-0.001348518,0.001348553,0.0013497566,2071281.0,7.9515761,0.73215727
0182,7.543875,0.95054,0.114684,898.57618,-7.4286725e-05,7.430808e-05,7.4633135e-05,401141.8,7.1707549,0.82237086
0183,12.118117,0.854889,0.138378,1631.2719,-0.00063255581,0.00063258797,0.00063346817,1190736.4,10.359645,1.4335469
0184,11.735104,1.105097,0.111234,546.26865,-0.00011103275,0.00011104612,0.00011132002,288178.27,12.968428,1.4425301
0185,13.23907,0.843877,0.020466,915.89583,-0.0032536116,0.0032537336,0.003257434,5063433.2,11.172147,0.22864915
0186,10.947741,1.066278,0.106926,1297.9224,-0.00024816205,0.00024819511,0.00024884944,714133.44,11.673335,1.2481831
0187,12.427762,0.889794,0.050463,1353.9984,-0.0013771324,0.0013772054,0.0013791788,2564626.7,11.058148,0.55802733
0188,6.808178,1.164892,0.054435,1395.2277,-9.7941247e-05,9.8011525e-05,9.8787825e-05,793980.3,7.9307921,0.43171267
0189,11.523848,0.970374,0.063631,986.39418,-0.00048973489,0.00048977718,0.00049074541,1157561.4,11.182442,0.71155
0190,7.926916,1.139322,0.128467,1007.8627,-5.0268968e-05,5.0290337e-05,5.0574728e-05,294375.82,9.0313098,1.1602253
0191,8.209533,0.366848,0.089395,748.30581,-0.001764269,0.0017642918,0.0017652805,3099932.0,3.0116508,0.26922652
0192,10.108713,1.246648,0.028509,542.28081,-0.00019226063,0.00019231245,0.00019311907,758359.31,12.602007,0.35927061
0193,9.168274,0.320572,0.088449,852.32154,-0.0042375537,0.00423758,0.0042390353,5212027.7,2.9390919,0.25995974
0194,12.474459,0.49223,0.021283,966.07997,-0.013891825,0.013891949,0.013898023,14179249.0,6.140303,0.13068407
0195,9.597437,0.693213,0.025696,526.58303,-0.0010246882,0.0010247441,0.0010262383,2493754.0,6.6530681,0.17095724
0196,13.727603,0.937142,0.097812,644.71968,-0.00039015668,0.00039017461,0.0003906832,627082.54,12.864713,1.2583233
0197,9.653059,0.72256,0.12711,600.68623,-0.0002123529,0.00021236579,0.00021269819,532519.75,6.9749143,0.88658136
0198,12.973673,1.165169,0.078038,508.20079,-0.00016964618,0.0001696639,0.00017004494,379793.49,15.116522,1.1796631
0199,7.147491,1.320204,0.0792,911.03211,-3.5042933e-05,3.5074365e-05,3.5395977e-05,291522.43,9.4361462,0.74734278
0200,8.79768,0.804277,0.103973,1403.8692,-0.00033357215,0.00033360892,0.00033438495,1121128.3,7.0757717,0.73568921
0201,6.462153,0.67031,0.125805,773.76085,-0.00010416764,0.00010418438,0.00010449538,540748.66,4.3316458,0.5449427
0202,6.628276,1.091331,0.0247,903.55844,-0.00015661446,0.0001567144,0.00015786718,1254968.2,7.2336431,0.17867098
0203,10.670588,0.436294,0.133432,1368.6296,-0.0028213281,0.002821356,0.0028226803,3488249.0,4.6555135,0.62119448
0204,8.327693,0.282445,0.085611,1227.8594,-0.0069100383,0.0069100773,0.0069123104,9074807.7,2.3521152,0.20136694
0205,9.629455,0.911264,0.037159,1287.8727,-0.00077227749,0.000772372,0.00077429568,2455208.5,8.7749757,0.32606932
0206,6.945435,0.629635,0.057042,1276.9027,-0.00056717273,0.00056723382,0.00056853157,2395073.4,4.373089,0.24944974
0207,12.885289,0.995987,0.112689,1117.8882,-0.00040485479,0.0004048818,0.00040555724,785295.51,12.83358,1.4462033
0208,8.46651,0.907799,0.060509,1564.0661,-0.00039653544,0.00039660572,0.00039786949,1623863.6,7.6858893,0.46506548
0209,6.50435,1.11511,0.093197,630.35095,-2.5679608e-05,2.5697993e-05,2.5902307e-05,218034.26,7.2530657,0.67596397
0210,6.650709,1.042634,0.129385,688.36731,-2.6344834e-05,2.6359387e-05,2.6535784e-05,200498.78,6.9342553,0.89718863
0211,6.498363,0.761059,0.066865,938.39729,-0.00016549819,0.00016553652,0.00016616395,964880.24,4.9456376,0.33069006
0212,12.624752,0.731076,0.053032,1724.7672,-0.0031518731,0.0031519616,0.0031549229,4670643.4,9.2296532,0.48946697
0213,8.685541,0.713786,0.139119,1553.0281,-0.00037933519,0.00037936567,0.00038008032,1161107.1,6.1996176,0.8624846
0214,10.824088,0.256821,0.054821,1282.99,-0.032829782,0.032829821,0.032835006,23205169.0,2.7798531,0.15239433
0215,9.830343,0.432763,0.137785,779.85158,-0.001247536,0.0012475514,0.00124823,1803343.2,4.2542087,0.58616615
0216,6.866457,0.402746,0.082155,1025.4169,-0.0011641686,0.0011642027,0.0011653247,3213237.0,2.7654381,0.22719457
0217,12.859001,0.530174,0.033356,1150.3859,-0.0092524345,0.0092525284,0.0092569442,9572972.7,6.817508,0.2274048
0218,12.679582,0.6221,0.064704,1456.0723,-0.0035841087,0.00358417,0.0035865902,4478305.0,7.887968,0.51038308
